Field Name,Start Position,End Position,Field Length,Field Value
SERVICE ID,1,32,32
MESSAGE TYPE,33,64,32
CAPTURE DATE,65,72,8
CAPTURE TIME,73,78,6
DEAL CODE,79,84,6
DEAL NO,85,90,6
TRAN. CURR,91,93,3
CUSTOMER DIVIDEND  A/C - CR,94,105,12
VALUE DATE,106,113,8
CREDIT AMOUNT,114,126,13
CUSTOMER NARRATIVE-A1,127,150,24
CUTOMER NARRATIVE-A2,151,174,24
CUSTOMER NARRATIVE-A3,175,198,24
CUSTOMER NARRATIVE-A4,199,222,24
TADAWUL DEBIT A/C,223,234,12
DEBIT AMOUNT,235,247,13
DEBIT AC NARRATIVE-A1,248,271,24
DEBIT ACNARRATIVE-A2,272,295,24
DEBIT AC NARRATIVE-A3,296,319,24
DEBIT AC NARRATIVE-A4,320,343,24
CREDIT TAX ACCOUNT,344,355,12
TAX AMOUNT ,356,368,13
TAX AC NARRATIVE-A1,369,392,24
TAX AC NARRATIVE-A2,393,416,24
TAX AC NARRATIVE-A3,417,440,24
TAX AC NARRATIVE-A4,441,464,24
